ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP,DK
0,19,46,25,1,1,1,2,12
1,19,46,46,1,1,1,5,12
2,19,46,34,1,1,1,6,12
3,19,46,31,1,1,1,7,12
4,19,46,62,1,2,1,2,12
5,19,46,67,1,2,1,7,12
6,19,46,5,1,2,2,2,12
7,19,46,38,1,2,3,2,12
8,20,49,147,2,3,1,7,12
9,19,46,126,2,4,1,7,12

10,19,47,11,1,1,1,5,11
11,19,47,130,1,1,1,6,11
12,19,47,154,1,2,1,5,11
13,19,46,2,1,2,3,2,11
14,19,50,111,2,3,1,2,11
15,19,50,13,2,3,3,2,11
16,19,46,46,2,4,1,2,11
17,19,47,78,2,4,1,5,11

18,20,49,138,1,1,3,4,10
19,19,46,165,1,2,3,4,10
21,20,19,46,29,2,3,3,2,10
22,19,46,80,2,3,3,4,10
23,19,46,18,2,4,3,2,10
24,19,46,100,2,4,3,4,10

25,19,48,115,1,1,3,4,9
26,19,48,19,1,2,3,3,9
27,20,59,45,1,2,3,4,9
28,18,48,99,2,3,3,2,9
29,19,49,102,2,3,3,3,9
30,20,50,108,2,4,3,2,9

31,21,59,113,1,1,1,7,8
32,19,53,12,1,2,1,2,8
33,19,50,122,1,2,1,7,8
34,20,48,15,2,3,1,2,8
35,20,48,12,2,3,1,5,8
36,20,48,22,2,3,1,6,8
37,20,48,68,2,3,1,7,8
38,20,50,177,2,4,1,7,8
