ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP,DK
0,19,46,162,1,1,2,10,12
1,19,46,174,1,2,2,10,12
2,19,46,150,2,3,2,10,12
3,19,46,143,2,4,2,10,12

4,18,46,110,1,1,3,10,11
5,18,46,14,1,1,5,11,11
6,18,46,36,1,1,6,7,11
7,18,46,27,1,1,6,8,11
8,18,46,81,1,2,3,10,11
9,18,46,80,1,2,6,6,11
10,18,46,21,1,2,6,7,11
11,18,50,11,2,3,2,10,11
12,18,50,141,2,3,3,10,11
13,18,50,11,2,3,6,5,11
14,18,50,11,2,3,6,6,11
15,18,46,132,2,4,2,10,11

16,17,49,164,1,1,2,9,10
17,18,45,47,1,2,2,9,10
18,18,45,128,1,2,5,9,10
19,18,45,101,2,3,5,9,10
20,18,45,31,2,3,6,5,10
21,18,45,1,2,4,4,10,10
22,18,45,107,2,4,5,9,10
23,18,45,14,2,4,5,10,10
24,18,45,16,2,4,6,5,10

25,18,45,153,1,1,5,11,9
26,18,45,183,1,2,5,11,9
27,20,59,5,1,2,6,4,9
28,20,59,5,1,2,6,5,9
29,18,45,142,2,3,5,11,9
30,19,49,8,2,3,6,5,9
31,18,45,145,2,4,5,11,9

32,21,59,130,1,1,6,4,8
33,19,53,154,1,2,6,4,8
34,20,48,132,2,3,6,4,8
35,20,50,114,2,4,6,4,8
