ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP,DK
0,18,46,149,1,1,1,9,12
1,18,46,178,1,2,1,9,12
2,19,48,102,2,3,1,9,12
3,19,48,25,2,3,1,10,12
4,17,47,3,2,4,1,7,12
5,17,47,7,2,4,1,8,12
6,17,47,21,2,4,1,10,12
7,18,46,109,2,4,1,11,12

8,18,47,161,1,1,1,7,11
9,19,46,22,1,2,1,4,11
10,19,46,9,1,2,1,5,11
11,19,46,127,1,2,1,6,11
12,19,46,3,1,2,1,7,11
13,19,50,153,2,3,1,4,11
14,19,46,128,2,4,1,4,11

15,20,49,156,1,1,1,4,10
16,19,46,63,1,2,1,2,10
17,19,46,117,1,2,1,4,10
18,18,45,130,2,3,1,2,10
19,19,46,17,2,4,1,2,10
20,19,46,81,2,4,1,13,10
21,19,46,21,2,4,1,14,10

22,17,38,155,1,1,1,2,9
2317,38,165,1,2,1,2,9
24,17,38,18,1,2,1,3,9
25,18,45,25,2,3,1,2,9
26,18,45,91,2,3,2,3,9
27,18,45,62,2,3,2,12,9
28,19,46,24,2,4,1,2,9
29,19,46,151,2,4,2,12,9

30,17,38,182,1,1,2,12,8
31,17,38,38,2,2,2,3,8
32,17,38,190,2,2,2,12,8
33,17,38,42,2,3,1,1,8
34,17,38,12,2,3,2,3,8
35,17,38,132,2,3,2,12,8
36,17,38,3,2,4,1,1,8
37,17,38,174,2,4,2,12,8
