ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP
0,19,46,6,1,1,1,8
1,19,46,26,1,1,1,8
2,18,45,1,1,1,1,8
3,19,49,7,1,2,1,7
4,18,48,6,1,2,1,7
5,19,48,1,1,2,1,7
6,18,48,1,1,2,1,7
7,19,48,2,1,2,1,7
8,19,48,8,1,2,1,7
9,18,48,12,1,2,1,7
10,19,48,1,1,2,1,7
11,19,48,1,1,2,1,7
12,19,48,1,1,2,1,7
13,19,48,1,1,2,1,7
14,19,48,11,1,2,1,7
15,18,47,2,1,2,1,7
16,18,47,1,1,2,1,7
17,18,46,8,1,2,1,7
18,18,46,3,1,2,1,7
19,18,46,22,1,2,1,7
20,18,46,4,1,2,1,7
21,18,46,2,1,2,1,7
22,18,46,2,1,2,1,7
23,18,46,2,1,2,1,7
24,18,46,3,1,2,1,7
25,18,46,11,1,2,1,7
26,19,46,8,1,2,1,8
27,18,45,3,1,2,1,8
28,19,45,1,1,2,1,8
29,19,45,1,1,2,1,8
30,18,45,17,1,2,1,8
31,18,45,20,1,2,1,8
32,17,43,4,1,2,1,8
33,17,43,1,1,2,1,8
34,18,46,2,2,3,1,7
35,19,46,11,2,3,1,7
36,19,46,22,2,3,1,7
37,19,46,9,2,3,1,7
38,19,46,2,2,3,1,7
39,19,46,1,2,3,1,7
40,19,46,7,2,3,1,7
41,19,46,6,2,3,1,7
42,19,46,2,2,3,1,7
43,19,46,5,2,3,1,7
44,19,46,10,2,3,1,7
45,19,46,35,2,3,1,7
