,HOLD,HEIGHT,WIDTH,TALL,WEIGHT,AMOUNT,LP,DP
0,1,460,192,170,1650,1,1,9
1,1,460,192,170,1640,11,1,9
2,1,460,192,170,1450,1,1,9
3,1,460,192,170,1480,2,1,9
4,1,460,192,170,1570,4,1,9
5,1,460,192,170,1590,11,1,9
6,1,460,192,170,1590,5,1,9
7,1,460,192,170,1650,11,1,9
8,1,460,192,170,1640,16,1,9
9,1,460,192,170,1650,4,1,9
10,1,460,192,170,1450,15,1,9
11,1,460,192,170,1450,6,1,9
12,1,460,192,170,1480,34,1,9
13,1,460,192,170,1480,4,1,9
14,1,460,192,170,1510,24,1,9
15,2,489,192,171,1960,1,1,9
16,2,489,187,146,1590,1,1,9
17,2,489,192,170,1960,1,1,9
18,2,465,181,158,1500,3,1,9
19,2,465,182,147,1530,2,1,9
20,2,465,181,158,1500,6,1,9
21,2,465,182,147,1530,2,1,9
22,2,464,187,165,1730,25,1,9
23,2,464,187,166,1780,4,1,9
24,2,464,187,165,1780,2,1,9
25,2,464,187,166,1780,5,1,9
26,2,464,187,166,1680,8,1,9
27,2,460,192,170,1600,8,1,9
28,2,460,192,170,1590,4,1,9
29,2,460,192,170,1590,1,1,9
30,2,460,192,170,1650,10,1,9
31,2,460,192,170,1510,17,1,9
32,2,460,192,170,1570,5,1,9
33,2,460,192,170,1570,30,1,9
34,2,460,192,170,1600,1,1,9
35,2,460,192,170,1590,6,1,9
36,2,460,192,170,1650,3,1,9
37,2,460,192,170,1640,18,1,9
38,2,460,192,170,1650,3,1,9
39,2,460,192,170,1640,5,1,9
40,2,460,192,170,1480,7,1,9
41,3,500,192,170,2190,2,1,9
42,3,498,190,145,1680,5,1,9
43,3,498,190,145,1680,16,1,9
44,3,498,190,145,1680,2,1,9
45,3,498,190,145,1600,1,1,9
46,3,489,187,146,1590,18,1,9
47,3,489,192,170,2100,2,1,9
48,3,489,187,146,1590,41,1,9
49,3,489,187,146,1590,6,1,9
50,3,489,192,170,1960,5,1,9
51,3,489,192,170,2100,1,1,9
52,3,468,182,144,1620,3,1,9
53,3,460,192,170,1640,19,1,10
54,3,460,192,170,1570,1,1,10
55,3,460,192,170,1650,2,1,10
56,3,460,192,170,1640,2,1,10
57,3,458,182,150,1370,1,1,10
58,4,489,188,154,1850,1,1,7
59,4,489,188,154,1850,2,1,7
60,4,489,188,154,1850,7,1,8
61,4,524,195,147,2260,1,1,10
62,4,465,181,158,1500,1,1,10
63,4,460,192,170,1650,15,1,10
64,4,460,192,170,1640,4,1,10
65,4,498,190,145,1680,7,1,11
66,4,489,187,146,1590,13,1,11
67,4,489,192,170,2100,1,1,11
68,4,464,187,166,1720,2,1,11
69,4,464,187,166,1780,2,1,11
70,4,464,187,166,1720,2,1,11
71,4,464,187,166,1780,1,1,11
72,4,464,187,165,1780,1,1,11
73,4,460,192,170,1590,73,1,11
74,4,460,192,170,1640,2,1,11
75,4,460,192,170,1590,2,1,11
76,4,460,192,170,1450,1,1,11
77,4,450,186,154,1540,1,1,11
78,4,435,179,146,1410,1,1,11
