HOLD,HEIGHT,WIDTH,TALL,WEIGHT,AMOUNT,LP,DP
1,460,192,170,1640,3,1,14
1,460,192,170,1600,1,1,14
1,460,192,170,1590,2,1,14
1,460,192,170,1650,9,1,14

2,435,179,146,1410,3,1,9
2,424,178,132,1240,2,1,9
			
2,489,192,170,1960,74,1,13
2,489,192,171,1960,1,1,13
2,464,187,165,1730,12,1,13
2,464,187,166,1630,3,1,13
2,464,187,166,1680,12,1,13
2,460,192,170,1650,7,1,14

3,524,195,147,2240,1,1,13
3,498,190,145,1600,1,1,13
3,489,192,170,1880,3,1,13
3,489,192,170,1960,10,1,13
3,460,192,170,1650,2,1,14
3,460,192,170,1640,12,1,14
3,460,192,170,1650,1,1,14
3,460,192,170,1600,3,1,14
3,460,192,170,1590,3,1,14
3,460,192,170,1650,12,1,14
3,460,192,170,1640,11,1,14
3,460,192,170,1480,38,1,14
3,460,192,172,1570,6,1,14
3,460,192,170,1570,1,1,14
3,450,186,154,1540,1,1,14
3,450,186,154,1540,5,1,14
3,450,186,156,1600,3,1,14
3,450,186,154,1540,4,1,14
3,450,186,156,1600,1,1,14
3,450,186,154,1500,1,1,14
3,435,179,146,1410,2,1,14
