ID,WIDTH,HEIGHT,AMOUNT,SEG,HOLD,LP,DP
0,17,37,30,1,1,3,10
1,17,37,6,1,1,3,10
2,16,34,11,1,1,3,10
3,17,38,17,1,1,3,10
4,17,37,36,1,1,3,10
5,16,34,10,1,1,3,10
6,16,39,1,1,1,5,11
7,16,39,1,1,1,5,11
8,16,39,1,1,1,5,11
9,16,39,1,1,1,5,11
10,16,39,1,1,1,5,11
11,16,39,1,1,1,5,11
12,16,39,1,1,1,5,11
13,16,38,1,1,1,5,11
14,16,38,1,1,1,5,11
15,16,37,1,1,1,5,11
16,16,37,1,1,1,5,11
17,16,37,1,1,1,5,11
18,16,35,1,1,1,5,11
19,17,44,1,1,1,5,11
20,19,49,2,1,1,6,7
21,18,48,6,1,1,6,7
22,19,48,2,1,1,6,7
23,19,48,4,1,1,6,7
24,18,46,1,1,1,6,7
25,18,46,2,1,1,6,7
26,18,46,1,1,1,6,7
27,19,46,8,1,1,6,7
28,19,46,10,1,1,6,7
29,19,50,1,1,1,6,8
30,19,49,1,1,1,6,8
31,19,48,3,1,1,6,8
32,18,46,1,1,1,6,8
33,19,46,2,1,1,6,8
34,19,46,6,1,1,6,8
35,19,46,2,1,1,6,8
36,19,46,5,1,1,6,8
37,19,46,1,1,1,6,8
38,18,45,5,1,1,6,8
39,17,37,34,1,2,3,10
40,16,34,11,1,2,3,10
41,17,37,36,1,2,3,10
42,19,49,4,1,2,6,6
43,18,48,9,1,2,6,6
44,19,48,1,1,2,6,6
45,19,48,1,1,2,6,6
46,18,46,4,1,2,6,6
47,19,46,4,1,2,6,6
48,19,46,13,1,2,6,6
49,19,46,26,1,2,6,6
50,19,46,7,1,2,6,6
51,19,46,4,1,2,6,6
52,19,46,4,1,2,6,6
53,19,46,3,1,2,6,6
54,19,46,1,1,2,6,7
55,19,46,6,1,2,6,7
56,19,46,9,1,2,6,7
57,19,46,1,1,2,6,7
58,19,46,1,1,2,6,7
59,18,45,1,1,2,6,7
60,18,45,2,1,2,6,7
61,19,44,11,2,3,2,10
62,17,38,74,2,3,3,10
63,17,38,49,2,3,3,10
64,17,38,6,2,3,3,10
65,16,34,8,2,3,3,10
66,16,34,4,2,3,3,10
67,20,50,8,2,3,6,5
68,20,49,3,2,3,6,5
69,19,46,10,2,3,6,6
70,18,45,1,2,3,6,6
71,19,44,132,2,4,2,10
