HOLD,HEIGHT,WIDTH,TALL,WEIGHT,AMOUNT,LP,DP
1,496,202,191,2450,65,6,4
1,496,202,191,2510,1,6,4
1,496,202,197,2510,7,6,4
1,496,202,196,2510,2,6,4
1,496,202,195,2450,6,6,4
1,496,202,192,2510,5,6,4
1,495,202,192,2510,9,6,4
1,489,192,170,1960,14,6,4
1,489,187,146,1480,21,6,4

2,489,187,146,1480,44,6,4
2,489,187,146,1590,3,6,4
2,489,187,146,1590,2,6,4
2,489,192,170,1960,35,6,4
2,489,192,170,1960,4,6,4
2,489,192,170,2100,1,6,4
2,489,192,170,1960,3,6,4
2,484,193,186,2070,2,6,4
2,484,193,184,2080,1,6,4
2,484,193,186,2080,2,6,4
2,484,193,184,2150,4,6,4
2,484,193,186,2150,17,6,4
2,484,193,186,2030,1,6,4
2,484,193,189,2140,1,6,4
2,464,187,165,1730,3,6,4
2,464,187,166,1680,1,6,4
2,464,187,165,1730,18,6,4
2,464,187,166,1680,12,6,4

3,484,193,186,2030,17,6,4
3,484,193,189,2070,3,6,4
3,484,193,191,2070,10,6,4
3,484,193,191,2030,94,6,4
3,464,187,165,1730,2,6,4
3,464,187,166,1630,2,6,4
3,464,187,166,1680,4,6,4

4,506,200,192,2510,4,6,4
4,506,200,192,2510,10,6,4
4,506,200,192,2510,8,6,4
4,499,202,193,2510,4,6,4
4,499,202,192,2510,27,6,4
4,499,202,193,2510,36,6,4
4,498,190,145,1600,5,6,4
4,498,190,145,1650,1,6,4
4,498,190,145,1650,1,6,4
4,496,202,191,2450,18,6,4
